Ticker,Summary,Sentiment,Sentiment Score,URL
TSLA,Roth IRAs may not be enough to replace all of your income in retirement.,NEGATIVE,0.9997749924659729,https://www.investopedia.com/what-will-cd-rates-do-in-2024-clues-from-todays-fed-announcement-8415438?utm_campaign=quote-yahoo
TSLA,Strategists see fourth-quarter earnings momentum accelerating.,POSITIVE,0.9903925657272339,https://finance.yahoo.com/news/1-million-roth-ira-receive-120000338.html
TSLA,Utility sector has been worst performer in 2023.,NEGATIVE,0.9996540546417236,https://finance.yahoo.com/news/bull-market-coming-2-best-101000259.html
TSLA,S&P 500 has surged 29% from low point in October. But some say the index has to go higher to be considered a new bull market,NEGATIVE,0.995518147945404,https://finance.yahoo.com/news/2-utility-stocks-buy-hand-102100624.html
TSLA,Apple has become more than half of his portfolio.,POSITIVE,0.5429785847663879,https://finance.yahoo.com/news/bull-market-coming-1-super-125300286.html
TSLA,S&P Global lists the first value date for the ind for its index.,NEGATIVE,0.9871597290039062,https://finance.yahoo.com/news/80-warren-buffetts-313-billion-120000979.html
TSLA,Cathie Wood and her team are especially bullish on Bitcoin.,NEGATIVE,0.9941775798797607,https://finance.yahoo.com/news/p-500-just-did-something-100600002.html
TSLA,Is a stock split a sign of quality?,NEGATIVE,0.9988839030265808,https://finance.yahoo.com/news/1-top-cryptocurrency-buy-soars-105500886.html
TSLA,Investors are still at the outset of a revolutionary technology shift.,POSITIVE,0.9989321827888489,https://finance.yahoo.com/research/reports/ARGUS_38549_MarketOutlook_1702554864000?yptr=yahoo
TSLA,Shares of the chipmaker have more than doubled in 2020.,POSITIVE,0.9936487078666687,https://finance.yahoo.com/news/bull-market-coming-1-stock-100900901.html
TSLA,Here’s a guide to the best stocks for the new year. These are the 10 best-performing sectors in 2024,POSITIVE,0.9992928504943848,https://www.investors.com/etfs-and-funds/sectors/sp500-cathie-wood-sails-past-fidelity-thanks-to-a-hail-mary-stock-pick/?src=A00220
TSLA,More than half of workers say their company doesn’t do enough to support them,NEGATIVE,0.996505618095398,https://finance.yahoo.com/news/2-artificial-intelligence-ai-stocks-122100708.html
TSLA,Caputo says ‘addiction’ to debt led to economic crisis. JPMorgan is in a fight over its client’s lost $50 million.,NEGATIVE,0.9960758090019226,https://finance.yahoo.com/news/invested-5-000-nvidia-10-115500177.html
TSLA,I'm at 35% federal tax rate and plan to make a similar annual income.,NEGATIVE,0.9926221370697021,https://finance.yahoo.com/news/4-best-stocks-choose-2024-193250150.html
TSLA,Tesla has been working on a self-driving truck for years.,NEGATIVE,0.9802610874176025,https://finance.yahoo.com/news/happiest-employees-many-days-pto-174826848.html
TSLA,Warren Buffett’s company now owns about 27% of oil and gas firm.,POSITIVE,0.9630963802337646,https://finance.yahoo.com/news/no-more-money-argentina-begins-032452817.html
TSLA,Shares of the world's most valuable company have slumped this year.,NEGATIVE,0.9997891783714294,https://finance.yahoo.com/news/ask-advisor-dad-left-200k-141245961.html
